,unnamed_0,how_many_employees_does_your_company_or_organization_have,is_your_employer_primarily_a_tech_company_organization,is_your_primary_role_within_your_company_related_to_tech_it,does_your_employer_provide_mental_health_benefits_as_part_of_healthcare_coverage,do_you_know_the_options_for_mental_health_care_available_under_your_employer_provided_health_coverage,has_your_employer_ever_formally_discussed_mental_health_for_example_as_part_of_a_wellness_campaign_or_other_official_communication,does_your_employer_offer_resources_to_learn_more_about_mental_health_disorders_and_options_for_seeking_help,is_your_anonymity_protected_if_you_choose_to_take_advantage_of_mental_health_or_substance_abuse_treatment_resources_provided_by_your_employer,you_feel_more_comfortable_talking_to_your_coworkers_about_your_physical_health_or_your_mental_health,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_direct_supervisor_s,have_you_ever_discussed_your_mental_health_with_your_employer,would_you_feel_comfortable_discussing_a_mental_health_issue_with_your_coworkers,have_you_ever_discussed_your_mental_health_with_coworkers,overall_how_much_importance_does_your_employer_place_on_physical_health,overall_how_much_importance_does_your_employer_place_on_mental_health,do_you_have_medical_coverage_private_insurance_or_state_provided_that_includes_treatment_of_mental_health_disorders,do_you_know_local_or_online_resources_to_seek_help_for_a_mental_health_issue,do_you_believe_your_productivity_is_ever_affected_by_a_mental_health_issue,if_yes_what_percentage_of_your_work_time_time_performing_primary_or_secondary_job_functions_is_affected_by_a_mental_health_issue,have_you_had_a_mental_health_disorder_in_the_past,have_you_ever_sought_treatment_for_a_mental_health_disorder_from_a_mental_health_professional,do_you_have_a_family_history_of_mental_illness,have_your_observations_of_how_another_individual_who_discussed_a_mental_health_issue_made_you_less_likely_to_reveal_a_mental_health_issue_yourself_in_your_current_workplace,what_is_your_age,what_is_your_gender,what_is_your_race
0,0,More than 1000,1,0,1,1,1,1,1,1,0,1,0,1,8.0,6.0,-1,-1,-1,,1,1,1,1,57,1,
1,1,More than 1000,1,1,1,1,0,2,2,1,0,0,0,0,8.0,3.0,-1,-1,-1,,1,1,1,-1,29,0,White
2,2,6-25,0,1,1,1,0,0,2,1,0,0,0,0,3.0,1.0,-1,-1,-1,,0,0,1,-1,46,0,White
3,3,6-25,1,1,0,0,0,0,2,1,0,0,2,0,8.0,8.0,-1,-1,-1,,0,0,0,2,34,0,
4,4,26-100,1,1,1,1,1,1,1,0,1,1,1,1,7.0,5.0,-1,-1,-1,,1,1,1,0,29,ostensibly male,White
5,5,100-500,1,1,1,1,0,2,2,0,1,0,1,0,7.0,8.0,-1,-1,-1,,2,0,0,0,55,0,White
6,6,More than 1000,1,1,1,1,0,0,2,1,0,0,2,0,4.0,4.0,-1,-1,-1,,2,1,0,-1,29,agender,
7,7,26-100,1,1,-1,-1,0,0,2,1,0,0,2,0,10.0,8.0,-1,-1,-1,,1,1,2,0,35,0,
8,8,More than 1000,1,1,2,0,0,0,0,1,0,1,0,0,10.0,0.0,-1,-1,-1,,1,0,1,1,33,0,
9,9,More than 1000,0,1,1,0,0,1,2,1,0,0,0,0,3.0,1.0,-1,-1,-1,,2,0,0,1,37,0,White
10,10,More than 1000,1,1,1,1,1,1,2,1,2,1,2,1,6.0,3.0,-1,-1,-1,,1,1,1,-1,45,0,White
11,11,500-1000,0,1,0,0,0,0,2,1,2,0,0,0,6.0,0.0,-1,-1,-1,,1,1,2,-1,31,0,
12,12,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,0,,0,0,1,-1,38,1,
13,13,More than 1000,0,1,2,0,0,2,2,1,2,0,1,0,7.0,6.0,-1,-1,-1,,1,0,1,2,26,0,
14,14,100-500,1,1,0,0,0,0,2,1,0,0,0,0,6.0,0.0,-1,-1,-1,,1,1,0,0,27,1,
15,15,6-25,0,1,1,0,0,0,2,0,2,0,2,1,5.0,0.0,-1,-1,-1,,1,1,1,0,35,0,
16,16,26-100,0,1,1,0,0,1,2,1,0,0,0,0,6.0,4.0,-1,-1,-1,,1,0,1,1,47,0,White
17,17,More than 1000,1,1,1,1,2,2,2,1,2,0,2,0,10.0,10.0,-1,-1,-1,,1,1,2,0,37,0,I prefer not to answer
18,18,500-1000,0,1,0,0,0,0,0,1,0,0,0,0,4.0,3.0,-1,-1,-1,,0,0,1,0,32,0,
19,19,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,51-75%,1,1,2,2,46,0,
20,20,26-100,1,1,1,0,0,2,2,0,0,0,1,1,2.0,0.0,-1,-1,-1,,1,1,1,1,37,0,White
21,21,100-500,1,1,1,1,2,1,1,1,1,0,2,0,5.0,5.0,-1,-1,-1,,1,1,1,0,36,0,White
22,22,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,1,2,29,0,
23,23,100-500,1,1,1,0,0,0,2,1,0,0,0,0,4.0,1.0,-1,-1,-1,,2,1,2,0,45,0,I prefer not to answer
24,24,6-25,0,1,2,0,0,2,2,1,2,0,2,0,5.0,5.0,-1,-1,-1,,0,0,0,-1,30,0,White
25,25,6-25,1,1,0,0,1,0,2,1,2,0,2,0,7.0,5.0,-1,-1,-1,,1,1,2,0,46,0,
26,26,26-100,1,1,0,-1,0,0,2,1,0,0,2,0,5.0,2.0,-1,-1,-1,,0,0,0,-1,29,0,
27,27,More than 1000,1,1,2,-1,0,0,1,0,0,0,2,1,8.0,6.0,-1,-1,-1,,1,0,2,1,26,0,
28,28,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,0,,1,1,1,-1,26,0,White
29,29,6-25,1,1,2,0,0,2,2,1,0,1,0,0,5.0,4.0,-1,-1,-1,,1,1,1,-1,44,0,
30,30,26-100,1,1,1,0,0,2,2,1,0,0,2,0,5.0,5.0,-1,-1,-1,,1,0,2,-1,32,0,White
31,31,100-500,1,1,2,0,0,0,2,1,2,0,2,0,6.0,2.0,-1,-1,-1,,0,0,0,0,34,0,
32,32,500-1000,1,1,1,-1,1,1,1,1,2,1,1,1,7.0,6.0,-1,-1,-1,,2,0,2,-1,19,0,
33,33,More than 1000,0,1,2,0,0,2,2,1,0,0,0,0,7.0,7.0,-1,-1,-1,,1,1,1,-1,38,0,
34,34,6-25,1,1,-1,-1,0,0,0,1,0,0,0,0,6.0,4.0,-1,-1,-1,,1,1,0,1,61,0,White
35,35,6-25,1,1,1,1,0,2,2,1,0,0,1,1,7.0,7.0,-1,-1,-1,,0,0,2,0,44,0,White
36,36,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,1,1,0,32,1,White
37,37,100-500,0,1,1,0,1,1,1,1,1,0,2,0,7.0,6.0,-1,-1,-1,,0,0,0,0,31,0,
38,38,26-100,1,0,1,0,1,1,2,1,1,1,0,0,8.0,6.0,-1,-1,-1,,1,1,0,0,30,1,White
39,39,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,1,1,1,26-50%,1,0,0,2,52,0,
